Thuis,ADO Den Haag,AFC Ajax,AZ,FC Emmen,FC Groningen,FC Twente '65,FC Utrecht,Feyenoord Rotterdam,Fortuna Sittard,Heracles Almelo,PEC Zwolle,PSV,RKC Waalwijk,SBV Vitesse,SC Heerenveen,Sparta Rotterdam,VVV Venlo,Willem II Tilburg
ADO Den Haag,0.0,2.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,3.0
AFC Ajax,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
AZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,3.0
FC Emmen,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0
FC Groningen,0.0,1.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
FC Twente '65,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,0.0,0.0,1.0
FC Utrecht,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
Feyenoord Rotterdam,2.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0
Fortuna Sittard,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,3.0,1.0,0.0,1.0,3.0
Heracles Almelo,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,1.0,1.0
PEC Zwolle,1.0,4.0,3.0,0.0,0.0,0.0,3.0,4.0,1.0,0.0,0.0,4.0,2.0,3.0,0.0,2.0,0.0,3.0
PSV,1.0,1.0,4.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
RKC Waalwijk,3.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,1.0,2.0,0.0
SBV Vitesse,2.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
SC Heerenveen,2.0,3.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0
Sparta Rotterdam,2.0,4.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
VVV Venlo,0.0,4.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,2.0,1.0,1.0,4.0,3.0,0.0,0.0,0.0
Willem II Tilburg,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
